episode,reward,score,length,epsilon,td_error,timestamp
1,-8.2500,0,50,0.995000,0.000000,2026-05-31T15:33:45.175984
2,-11.2500,0,50,0.990025,0.000000,2026-05-31T15:33:45.370763
3,-10.6500,0,50,0.985075,0.000000,2026-05-31T15:33:45.542208
4,-10.0500,0,50,0.980150,0.000000,2026-05-31T15:33:45.725365
5,-10.6500,0,50,0.975249,0.000000,2026-05-31T15:33:45.919597
6,-10.0500,0,50,0.970373,0.000000,2026-05-31T15:33:46.152162
7,-10.6500,0,50,0.965521,0.000000,2026-05-31T15:33:46.540419
8,-11.2500,0,50,0.960693,0.000000,2026-05-31T15:33:46.828825
9,-10.6500,0,50,0.955890,0.000000,2026-05-31T15:33:47.114510
10,-10.6500,0,50,0.951110,0.000000,2026-05-31T15:33:47.406490
11,-8.8500,0,50,0.946355,0.000000,2026-05-31T15:33:47.704858
12,-11.2500,0,50,0.941623,0.000000,2026-05-31T15:33:48.038059
13,-10.0500,0,50,0.936915,0.000000,2026-05-31T15:33:48.375339
14,-8.8500,0,50,0.932230,0.000000,2026-05-31T15:33:48.602577
15,-10.6500,0,50,0.927569,0.000000,2026-05-31T15:33:48.818217
16,-10.0500,0,50,0.922931,0.000000,2026-05-31T15:33:49.037517
17,-9.4500,0,50,0.918316,0.000000,2026-05-31T15:33:49.258893
18,-11.2500,0,50,0.913725,0.000000,2026-05-31T15:33:49.573511
19,-10.6500,0,50,0.909156,0.000000,2026-05-31T15:33:49.886926
20,-10.0500,0,50,0.904610,0.000870,2026-05-31T15:33:50.223113
21,-10.6500,0,50,0.900087,0.134053,2026-05-31T15:33:50.519237
22,-10.0500,0,50,0.895587,0.109101,2026-05-31T15:33:50.846653
23,-10.6500,0,50,0.891109,0.110401,2026-05-31T15:33:51.179283
24,-4.6500,0,50,0.886654,0.117518,2026-05-31T15:33:51.498567
25,-6.4500,0,50,0.882220,0.130173,2026-05-31T15:33:51.816580
26,-10.0500,0,50,0.877809,0.104687,2026-05-31T15:33:52.141226
27,-7.6500,0,50,0.873420,0.098051,2026-05-31T15:33:52.472466
28,-10.6500,0,50,0.869053,0.107457,2026-05-31T15:33:52.988861
29,-10.0500,0,50,0.864708,0.105907,2026-05-31T15:33:53.365051
30,-10.6500,0,50,0.860384,0.118597,2026-05-31T15:33:53.917302
31,-9.4500,0,50,0.856082,0.122445,2026-05-31T15:33:54.191696
32,-7.0500,0,50,0.851802,0.120948,2026-05-31T15:33:54.507010
33,-10.0500,0,50,0.847543,0.112882,2026-05-31T15:33:54.826274
34,-10.6500,0,50,0.843305,0.105636,2026-05-31T15:33:55.137551
35,-11.2500,0,50,0.839089,0.100984,2026-05-31T15:33:55.448196
36,-10.0500,0,50,0.834893,0.103395,2026-05-31T15:33:55.750756
37,-8.8500,0,50,0.830719,0.099112,2026-05-31T15:33:56.085592
38,-10.0500,0,50,0.826565,0.118165,2026-05-31T15:33:56.430402
39,-9.4500,0,50,0.822432,0.105435,2026-05-31T15:33:56.756834
40,-10.0500,0,50,0.818320,0.098651,2026-05-31T15:33:57.277460
41,-9.4500,0,50,0.814229,0.097751,2026-05-31T15:33:57.582041
42,-9.4500,0,50,0.810157,0.093779,2026-05-31T15:33:57.890590
43,-10.0500,0,50,0.806107,0.073361,2026-05-31T15:33:58.230181
44,-8.8500,0,50,0.802076,0.082376,2026-05-31T15:33:58.600152
45,-11.2500,0,50,0.798066,0.082486,2026-05-31T15:33:59.040570
46,-10.6500,0,50,0.794075,0.088296,2026-05-31T15:33:59.416882
47,-9.4500,0,50,0.790105,0.063061,2026-05-31T15:33:59.722403
48,-10.0500,0,50,0.786154,0.080062,2026-05-31T15:34:00.016958
49,-10.6500,0,50,0.782224,0.076535,2026-05-31T15:34:00.335781
50,-7.6500,0,50,0.778313,0.066449,2026-05-31T15:34:00.648058
51,-9.4500,0,50,0.774421,0.064292,2026-05-31T15:34:00.963223
52,-0.4500,0,50,0.770549,0.075214,2026-05-31T15:34:01.323435
53,-10.0500,0,50,0.766696,0.080590,2026-05-31T15:34:01.722903
54,-10.6500,0,50,0.762863,0.082170,2026-05-31T15:34:02.110714
55,-8.2500,0,50,0.759048,0.073783,2026-05-31T15:34:02.513424
56,-10.0500,0,50,0.755253,0.080615,2026-05-31T15:34:02.840961
57,-11.2500,0,50,0.751477,0.089769,2026-05-31T15:34:03.140818
58,-7.0500,0,50,0.747719,0.078273,2026-05-31T15:34:03.433339
59,-10.0500,0,50,0.743981,0.074291,2026-05-31T15:34:03.737108
60,-11.2500,0,50,0.740261,0.065025,2026-05-31T15:34:04.044042
61,-10.6500,0,50,0.736560,0.068098,2026-05-31T15:34:04.337083
62,-10.6500,0,50,0.732877,0.060859,2026-05-31T15:34:04.647250
63,-10.0500,0,50,0.729212,0.064918,2026-05-31T15:34:04.999622
64,-4.6500,0,50,0.725566,0.056624,2026-05-31T15:34:05.322734
65,-10.6500,0,50,0.721939,0.059081,2026-05-31T15:34:05.623414
66,-11.2500,0,50,0.718329,0.052925,2026-05-31T15:34:05.931271
67,-10.0500,0,50,0.714737,0.060804,2026-05-31T15:34:06.266144
68,-9.4500,0,50,0.711164,0.056085,2026-05-31T15:34:06.594237
69,-9.4500,0,50,0.707608,0.049818,2026-05-31T15:34:06.926678
70,-9.4500,0,50,0.704070,0.054442,2026-05-31T15:34:07.475627
71,-10.0500,0,50,0.700549,0.056497,2026-05-31T15:34:07.794707
72,-10.6500,0,50,0.697047,0.068083,2026-05-31T15:34:08.106956
73,-9.4500,0,50,0.693561,0.061637,2026-05-31T15:34:08.478148
74,-10.0500,0,50,0.690094,0.057401,2026-05-31T15:34:08.823847
75,-9.4500,0,50,0.686643,0.056957,2026-05-31T15:34:09.138956
76,-10.0500,0,50,0.683210,0.053771,2026-05-31T15:34:09.452868
77,-4.0500,0,50,0.679794,0.055673,2026-05-31T15:34:09.777349
78,-10.6500,0,50,0.676395,0.051902,2026-05-31T15:34:10.072042
79,-10.0500,0,50,0.673013,0.054914,2026-05-31T15:34:10.364348
80,-7.0500,0,50,0.669648,0.050299,2026-05-31T15:34:10.688482
81,-8.8500,0,50,0.666300,0.049128,2026-05-31T15:34:11.044153
82,-10.6500,0,50,0.662968,0.042438,2026-05-31T15:34:11.402564
83,-8.8500,0,50,0.659653,0.035502,2026-05-31T15:34:11.690057
84,-11.2500,0,50,0.656355,0.031499,2026-05-31T15:34:11.991337
85,-10.6500,0,50,0.653073,0.027356,2026-05-31T15:34:12.290808
86,-9.4500,0,50,0.649808,0.033666,2026-05-31T15:34:12.617593
87,-10.6500,0,50,0.646559,0.033767,2026-05-31T15:34:12.921778
88,-9.4500,0,50,0.643326,0.033135,2026-05-31T15:34:13.234422
89,-10.0500,0,50,0.640109,0.038548,2026-05-31T15:34:13.580102
90,-7.6500,0,50,0.636909,0.027633,2026-05-31T15:34:13.900998
