episode,reward,score,length,epsilon,td_error,timestamp
1,-6.2008,0,50,0.081164,0.000000,2026-05-31T13:16:40.344087
2,-6.2047,0,50,0.080758,0.000000,2026-05-31T13:16:40.703771
3,-6.2242,0,50,0.080354,0.000000,2026-05-31T13:16:41.052015
4,-6.2164,0,50,0.079953,0.000000,2026-05-31T13:16:41.402043
5,-6.2457,0,50,0.079553,0.000000,2026-05-31T13:16:41.801702
6,-6.2184,0,50,0.079155,0.000000,2026-05-31T13:16:42.282171
7,-6.2594,0,50,0.078759,0.000000,2026-05-31T13:16:42.712659
8,-6.2066,0,50,0.078366,0.000000,2026-05-31T13:16:43.165712
9,-6.2438,0,50,0.077974,0.000000,2026-05-31T13:16:43.594230
10,-6.2184,0,50,0.077584,0.002729,2026-05-31T13:16:44.114778
11,-6.1754,0,50,0.077196,0.198816,2026-05-31T13:16:44.599008
12,-6.2594,0,50,0.076810,0.155501,2026-05-31T13:16:45.119681
13,-6.2320,0,50,0.076426,0.171632,2026-05-31T13:16:45.623469
14,-6.2457,0,50,0.076044,0.166376,2026-05-31T13:16:46.333859
15,-6.2047,0,50,0.075664,0.166542,2026-05-31T13:16:47.022949
16,-6.1637,0,50,0.075285,0.160875,2026-05-31T13:16:47.759080
17,-6.1773,0,50,0.074909,0.182496,2026-05-31T13:16:48.510856
18,-6.2320,0,50,0.074534,0.171654,2026-05-31T13:16:49.055625
19,-6.2438,0,50,0.074162,0.182615,2026-05-31T13:16:49.693067
20,-6.2027,0,50,0.073791,0.174415,2026-05-31T13:16:50.339376
21,-6.2281,0,50,0.073422,0.193588,2026-05-31T13:16:50.867044
22,-6.1637,0,50,0.073055,0.183970,2026-05-31T13:16:51.390823
23,-6.2594,0,50,0.072689,0.183827,2026-05-31T13:16:51.899589
24,-6.2047,0,50,0.072326,0.169932,2026-05-31T13:16:52.407413
25,-6.1695,0,50,0.071964,0.167481,2026-05-31T13:16:52.907901
26,-6.2281,0,50,0.071605,0.213831,2026-05-31T13:16:53.413659
27,-6.2164,0,50,0.071247,0.164590,2026-05-31T13:16:53.922329
28,-6.2320,0,50,0.070890,0.181001,2026-05-31T13:16:54.436246
29,-6.2203,0,50,0.070536,0.169939,2026-05-31T13:16:54.928487
30,-6.2457,0,50,0.070183,0.197716,2026-05-31T13:16:55.459731
31,-6.2164,0,50,0.069832,0.167460,2026-05-31T13:16:55.982352
32,-6.2594,0,50,0.069483,0.205923,2026-05-31T13:16:56.503498
33,-6.1910,0,50,0.069136,0.145643,2026-05-31T13:16:57.008839
34,-6.2457,0,50,0.068790,0.151033,2026-05-31T13:16:57.586625
35,-6.2594,0,50,0.068446,0.150874,2026-05-31T13:16:58.070547
36,-7.6211,0,31,0.068104,0.159036,2026-05-31T13:16:58.428699
37,-6.1637,0,50,0.067763,0.167924,2026-05-31T13:16:59.078276
38,-6.2320,0,50,0.067424,0.190041,2026-05-31T13:16:59.714192
39,-6.2164,0,50,0.067087,0.197710,2026-05-31T13:17:00.263356
40,-6.2594,0,50,0.066752,0.161777,2026-05-31T13:17:00.851511
41,-6.2457,0,50,0.066418,0.220135,2026-05-31T13:17:01.397569
42,-5.7406,0,56,0.066086,0.196874,2026-05-31T13:17:01.949225
43,-7.0867,0,38,0.065756,0.178341,2026-05-31T13:17:02.356399
44,-6.2320,0,50,0.065427,0.167755,2026-05-31T13:17:02.858616
