episode,reward,score,length,epsilon,td_error,timestamp
1,-6.2086,0,50,0.010000,0.262485,2026-05-24T20:16:29.340007
2,-6.2320,0,50,0.010000,0.246404,2026-05-24T20:16:29.570121
3,-6.2457,0,50,0.010000,0.245028,2026-05-24T20:16:29.785764
4,-6.2242,0,50,0.010000,0.246315,2026-05-24T20:16:30.013722
5,-6.1773,0,50,0.010000,0.266442,2026-05-24T20:16:30.230567
6,-6.2184,0,50,0.010000,0.246015,2026-05-24T20:16:30.454982
7,-6.2320,0,50,0.010000,0.249115,2026-05-24T20:16:30.669637
8,-6.2125,0,50,0.010000,0.267572,2026-05-24T20:16:30.896631
9,-6.1754,0,50,0.010000,0.273929,2026-05-24T20:16:31.109154
10,-6.2320,0,50,0.010000,0.232589,2026-05-24T20:16:31.335888
11,-6.1910,0,50,0.010000,0.249492,2026-05-24T20:16:31.548356
12,-6.2457,0,50,0.010000,0.233221,2026-05-24T20:16:31.779911
13,-6.1813,0,50,0.010000,0.254203,2026-05-24T20:16:31.994320
14,-6.2594,0,50,0.010000,0.234060,2026-05-24T20:16:32.223736
15,-6.2301,0,50,0.010000,0.266614,2026-05-24T20:16:32.437959
16,-6.2184,0,50,0.010000,0.234462,2026-05-24T20:16:32.651569
17,-6.1910,0,50,0.010000,0.240057,2026-05-24T20:16:32.878835
18,-6.2184,0,50,0.010000,0.278054,2026-05-24T20:16:33.093073
19,-6.2223,0,50,0.010000,0.230032,2026-05-24T20:16:33.322994
20,-6.2516,0,50,0.010000,0.232548,2026-05-24T20:16:33.535412
21,-6.1637,0,50,0.010000,0.294050,2026-05-24T20:16:33.763585
22,-6.2047,0,50,0.010000,0.235774,2026-05-24T20:16:33.988595
23,-6.2184,0,50,0.010000,0.236201,2026-05-24T20:16:34.217956
24,-6.2027,0,50,0.010000,0.231255,2026-05-24T20:16:34.431473
25,-6.2184,0,50,0.010000,0.236779,2026-05-24T20:16:34.661035
26,-6.2457,0,50,0.010000,0.237283,2026-05-24T20:16:34.875119
27,-6.1930,0,50,0.010000,0.234176,2026-05-24T20:16:35.104680
28,-6.2594,0,50,0.010000,0.237978,2026-05-24T20:16:35.319925
29,-6.2457,0,50,0.010000,0.268391,2026-05-24T20:16:35.546986
30,-6.2164,0,50,0.010000,0.234030,2026-05-24T20:16:35.763621
31,-6.1813,0,50,0.010000,0.233875,2026-05-24T20:16:35.978058
32,-6.1773,0,50,0.010000,0.270480,2026-05-24T20:16:36.209324
33,-6.2066,0,50,0.010000,0.237850,2026-05-24T20:16:36.438966
34,-6.1773,0,50,0.010000,0.238560,2026-05-24T20:16:36.657047
35,-6.2047,0,50,0.010000,0.234367,2026-05-24T20:16:36.872471
36,-6.1832,0,50,0.010000,0.272258,2026-05-24T20:16:37.102785
37,-6.2438,0,50,0.010000,0.306700,2026-05-24T20:16:37.317586
38,-6.1754,0,50,0.010000,0.235370,2026-05-24T20:16:37.545948
39,-6.2594,0,50,0.010000,0.240708,2026-05-24T20:16:37.759349
40,-6.2223,0,50,0.010000,0.272676,2026-05-24T20:16:37.987799
41,-6.1988,0,50,0.010000,0.235718,2026-05-24T20:16:38.201754
42,-6.2320,0,50,0.010000,0.240939,2026-05-24T20:16:38.430074
43,-6.1949,0,50,0.010000,0.276265,2026-05-24T20:16:38.644315
44,-6.2125,0,50,0.010000,0.236534,2026-05-24T20:16:38.874450
45,-6.1969,0,50,0.010000,0.238637,2026-05-24T20:16:39.091427
