episode,reward,score,length,epsilon,td_error,timestamp
1,-6.1891,0,50,0.995000,0.276625,2026-05-24T19:33:18.741082
2,-6.2125,0,50,0.990025,0.280376,2026-05-24T19:33:18.976528
3,-6.2047,0,50,0.985075,0.274386,2026-05-24T19:33:19.266387
4,-6.2438,0,50,0.980150,0.281525,2026-05-24T19:33:19.484215
5,-6.2184,0,50,0.975249,0.274145,2026-05-24T19:33:19.700750
6,-6.2457,0,50,0.970373,0.277396,2026-05-24T19:33:19.930159
7,-6.1910,0,50,0.965521,0.289170,2026-05-24T19:33:20.146953
8,-6.1637,0,50,0.960693,0.292130,2026-05-24T19:33:20.377740
9,-6.2320,0,50,0.955890,0.279894,2026-05-24T19:33:20.595380
10,-6.2301,0,50,0.951110,0.279918,2026-05-24T19:33:20.826630
11,-6.2457,0,50,0.946355,0.285253,2026-05-24T19:33:21.044103
12,-6.2516,0,50,0.941623,0.287635,2026-05-24T19:33:21.276689
13,-6.2516,0,50,0.936915,0.282790,2026-05-24T19:33:21.492315
14,-6.1910,0,50,0.932230,0.283505,2026-05-24T19:33:21.722841
15,-6.1773,0,50,0.927569,0.278564,2026-05-24T19:33:21.938637
16,-6.1754,0,50,0.922931,0.284618,2026-05-24T19:33:22.168392
17,-6.2457,0,50,0.918316,0.281173,2026-05-24T19:33:22.387322
18,-6.2203,0,50,0.913725,0.289498,2026-05-24T19:33:22.615525
19,-6.2047,0,50,0.909156,0.289479,2026-05-24T19:33:22.832505
20,-6.2184,0,50,0.904610,0.286192,2026-05-24T19:33:23.063233
21,-6.2105,0,50,0.900087,0.280214,2026-05-24T19:33:23.280606
22,-6.2145,0,50,0.895587,0.278501,2026-05-24T19:33:23.499087
23,-6.2594,0,50,0.891109,0.279253,2026-05-24T19:33:23.730194
24,-6.1910,0,50,0.886654,0.278361,2026-05-24T19:33:23.949566
25,-6.2145,0,50,0.882220,0.284039,2026-05-24T19:33:24.180582
26,-6.1910,0,50,0.877809,0.290150,2026-05-24T19:33:24.399269
27,-6.2027,0,50,0.873420,0.283386,2026-05-24T19:33:24.630422
28,-6.2438,0,50,0.869053,0.278468,2026-05-24T19:33:24.848254
29,-6.2086,0,50,0.864708,0.278741,2026-05-24T19:33:25.078797
30,-6.2594,0,50,0.860384,0.283465,2026-05-24T19:33:25.295465
31,-6.1930,0,50,0.856082,0.279468,2026-05-24T19:33:25.525804
32,-6.2242,0,50,0.851802,0.284723,2026-05-24T19:33:25.742767
33,-6.1949,0,50,0.847543,0.293662,2026-05-24T19:33:25.974523
34,-6.1773,0,50,0.843305,0.298292,2026-05-24T19:33:26.192178
35,-6.2320,0,50,0.839089,0.289952,2026-05-24T19:33:26.423661
36,-6.1773,0,50,0.834893,0.279237,2026-05-24T19:33:26.640610
37,-6.2184,0,50,0.830719,0.285546,2026-05-24T19:33:26.873888
38,-6.2320,0,50,0.826565,0.295264,2026-05-24T19:33:27.091514
