episode,reward,score,length,epsilon,td_error,timestamp
1,-5.5000,0,31,0.081164,0.523601,2026-05-24T19:42:54.171940
2,-2.6500,0,50,0.080758,0.372374,2026-05-24T19:42:55.902331
3,-2.6500,0,50,0.080354,0.378594,2026-05-24T19:42:57.633512
4,-5.5000,0,31,0.079953,0.520409,2026-05-24T19:42:58.717051
5,-2.6500,0,50,0.079553,0.375582,2026-05-24T19:43:00.443567
6,-2.6500,0,50,0.079155,0.371217,2026-05-24T19:43:02.167632
7,-2.6500,0,50,0.078759,0.375733,2026-05-24T19:43:03.899280
8,-2.6500,0,50,0.078366,0.370332,2026-05-24T19:43:05.631690
9,-2.6500,0,50,0.077974,0.375018,2026-05-24T19:43:07.363318
10,-2.6500,0,50,0.077584,0.371715,2026-05-24T19:43:09.089145
11,-5.5000,0,31,0.077196,0.516016,2026-05-24T19:43:10.169374
12,-2.6500,0,50,0.076810,0.370956,2026-05-24T19:43:11.900511
13,-2.6500,0,50,0.076426,0.371336,2026-05-24T19:43:13.631627
14,-2.6500,0,50,0.076044,0.367946,2026-05-24T19:43:15.359886
15,-2.6500,0,50,0.075664,0.381270,2026-05-24T19:43:17.085506
16,-2.6500,0,50,0.075285,0.376801,2026-05-24T19:43:18.812202
17,-2.6500,0,50,0.074909,0.372209,2026-05-24T19:43:20.542425
18,-2.6500,0,50,0.074534,0.367743,2026-05-24T19:43:22.268889
19,-2.6500,0,50,0.074162,0.368354,2026-05-24T19:43:24.002634
20,-5.5000,0,31,0.073791,0.509588,2026-05-24T19:43:25.086427
21,-2.6500,0,50,0.073422,0.368693,2026-05-24T19:43:26.817015
22,-2.6500,0,50,0.073055,0.365796,2026-05-24T19:43:28.548766
23,-2.6500,0,50,0.072689,0.369874,2026-05-24T19:43:30.278227
24,-2.6500,0,50,0.072326,0.366724,2026-05-24T19:43:32.006824
25,-5.5000,0,31,0.071964,0.506633,2026-05-24T19:43:33.092959
26,-2.6500,0,50,0.071605,0.370038,2026-05-24T19:43:34.819218
27,-5.5000,0,31,0.071247,0.505045,2026-05-24T19:43:35.903365
28,-2.6500,0,50,0.070890,0.364208,2026-05-24T19:43:37.633171
29,-2.6500,0,50,0.070536,0.363991,2026-05-24T19:43:39.362785
30,-2.6500,0,50,0.070183,0.369686,2026-05-24T19:43:41.092738
31,-2.6500,0,50,0.069832,0.367823,2026-05-24T19:43:42.823382
32,-2.3500,0,52,0.069483,0.358611,2026-05-24T19:43:44.625237
33,-2.6500,0,50,0.069136,0.366628,2026-05-24T19:43:46.351634
34,-2.6500,0,50,0.068790,0.366235,2026-05-24T19:43:48.082293
35,-2.6500,0,50,0.068446,0.363211,2026-05-24T19:43:49.810828
36,-2.6500,0,50,0.068104,0.363588,2026-05-24T19:43:52.409065
37,-2.6500,0,50,0.067763,0.363217,2026-05-24T19:43:54.131651
38,-5.5000,0,31,0.067424,0.499167,2026-05-24T19:43:55.218633
39,-2.6500,0,50,0.067087,0.366964,2026-05-24T19:43:56.940259
40,-5.5000,0,31,0.066752,0.497746,2026-05-24T19:43:58.028817
