episode,reward,score,length,epsilon,td_error,timestamp
1,-4.5500,0,50,0.998000,0.000000,2026-05-31T15:32:05.372099
2,-5.1500,0,50,0.996004,0.000000,2026-05-31T15:32:05.707977
3,-5.1500,0,50,0.994012,0.000000,2026-05-31T15:32:06.031684
4,-6.4500,0,50,0.992024,0.000000,2026-05-31T15:32:06.328090
5,-5.8500,0,50,0.990040,0.000000,2026-05-31T15:32:06.620615
6,-5.1500,0,50,0.988060,0.000000,2026-05-31T15:32:06.911276
7,-4.5500,0,50,0.986084,0.000000,2026-05-31T15:32:07.252156
8,-4.5500,0,50,0.984112,0.000000,2026-05-31T15:32:07.544676
9,-4.5500,0,50,0.982143,0.000000,2026-05-31T15:32:07.828736
