episode,reward,score,length,epsilon,td_error,timestamp
84,-6.2203,0,50,0.656355,0.000613,2026-05-27T15:24:37.925233
85,-6.2047,0,50,0.653073,0.000233,2026-05-27T15:24:38.316543
86,-6.1910,0,50,0.649808,0.000171,2026-05-27T15:24:38.702676
87,-6.1813,0,50,0.646559,0.000179,2026-05-27T15:24:39.089789
88,-6.1637,0,50,0.643326,0.000200,2026-05-27T15:24:39.476260
89,-6.2184,0,50,0.640109,0.000212,2026-05-27T15:24:39.865026
90,-6.2145,0,50,0.636909,0.003247,2026-05-27T15:24:40.252284
91,-6.2320,0,50,0.633724,0.050210,2026-05-27T15:24:40.638159
92,-6.2594,0,50,0.630556,0.023409,2026-05-27T15:24:41.023859
93,-6.2184,0,50,0.627403,0.022257,2026-05-27T15:24:41.408799
94,-6.2320,0,50,0.624266,0.018445,2026-05-27T15:24:41.795308
95,-6.2320,0,50,0.621145,0.019098,2026-05-27T15:24:42.180967
96,-6.2320,0,50,0.618039,0.018007,2026-05-27T15:24:42.568164
97,-6.2203,0,50,0.614949,0.022402,2026-05-27T15:24:42.953804
98,-6.2320,0,50,0.611874,0.020298,2026-05-27T15:24:43.338896
99,-6.2086,0,50,0.608815,0.019591,2026-05-27T15:24:43.724092
100,-6.2184,0,50,0.605770,0.016155,2026-05-27T15:24:44.111683
101,-6.2145,0,50,0.602742,0.017520,2026-05-27T15:24:44.501006
102,-6.1773,0,50,0.599728,0.016562,2026-05-27T15:24:44.889469
103,-6.1813,0,50,0.596729,0.015190,2026-05-27T15:24:45.281996
104,-6.2320,0,50,0.593746,0.016677,2026-05-27T15:24:45.668070
105,-6.2027,0,50,0.590777,0.016318,2026-05-27T15:24:46.054343
106,-6.1754,0,50,0.587823,0.015271,2026-05-27T15:24:46.440610
107,-6.2086,0,50,0.584884,0.015943,2026-05-27T15:24:46.827150
108,-6.2164,0,50,0.581959,0.018460,2026-05-27T15:24:47.212846
109,-6.2320,0,50,0.579050,0.016148,2026-05-27T15:24:47.598173
110,-6.1773,0,50,0.576154,0.018245,2026-05-27T15:24:48.066179
111,-6.2184,0,50,0.573274,0.042034,2026-05-27T15:24:48.453034
112,-6.2320,0,50,0.570407,0.025764,2026-05-27T15:24:48.839270
113,-6.2027,0,50,0.567555,0.025764,2026-05-27T15:24:49.224416
114,-6.2457,0,50,0.564717,0.022668,2026-05-27T15:24:49.612316
115,-6.2027,0,50,0.561894,0.025225,2026-05-27T15:24:50.001057
116,-6.2145,0,50,0.559084,0.021714,2026-05-27T15:24:50.383626
117,-6.2457,0,50,0.556289,0.023903,2026-05-27T15:24:50.766320
118,-6.2320,0,50,0.553508,0.020309,2026-05-27T15:24:51.152649
119,-6.2301,0,50,0.550740,0.020712,2026-05-27T15:24:51.540539
120,-6.1969,0,50,0.547986,0.023596,2026-05-27T15:24:51.925823
121,-6.2242,0,50,0.545246,0.020317,2026-05-27T15:24:52.314006
122,-6.2594,0,50,0.542520,0.021134,2026-05-27T15:24:52.700185
123,-6.2184,0,50,0.539808,0.023375,2026-05-27T15:24:53.087354
124,-6.2047,0,50,0.537108,0.015181,2026-05-27T15:24:53.474104
125,-6.1754,0,50,0.534423,0.018526,2026-05-27T15:24:53.858490
126,-6.2594,0,50,0.531751,0.017430,2026-05-27T15:24:54.244586
127,-6.2457,0,50,0.529092,0.016942,2026-05-27T15:24:54.631437
128,-6.2516,0,50,0.526447,0.017676,2026-05-27T15:24:55.021179
129,-6.2047,0,50,0.523814,0.017986,2026-05-27T15:24:55.407461
130,-6.2145,0,50,0.521195,0.020164,2026-05-27T15:24:55.793697
131,-6.2457,0,50,0.518589,0.046929,2026-05-27T15:24:56.178888
132,-6.2438,0,50,0.515996,0.021561,2026-05-27T15:24:56.566044
133,-6.2457,0,50,0.513416,0.021853,2026-05-27T15:24:56.957497
134,-6.2047,0,50,0.510849,0.020069,2026-05-27T15:24:57.345676
135,-6.2301,0,50,0.508295,0.021109,2026-05-27T15:24:57.732364
136,-6.1754,0,50,0.505754,0.020865,2026-05-27T15:24:58.138898
137,-6.1832,0,50,0.503225,0.019855,2026-05-27T15:24:58.540264
138,-6.1988,0,50,0.500709,0.019648,2026-05-27T15:24:58.949341
139,-6.2184,0,50,0.498205,0.020179,2026-05-27T15:24:59.361944
140,-6.1910,0,50,0.495714,0.016603,2026-05-27T15:24:59.801400
141,-6.2281,0,50,0.493236,0.018483,2026-05-27T15:25:00.283963
142,-6.1988,0,50,0.490769,0.016877,2026-05-27T15:25:00.721352
143,-6.2047,0,50,0.488316,0.015934,2026-05-27T15:25:01.141677
144,-6.1637,0,50,0.485874,0.019338,2026-05-27T15:25:01.538488
145,-6.1988,0,50,0.483445,0.020154,2026-05-27T15:25:01.934161
146,-6.2594,0,50,0.481027,0.017295,2026-05-27T15:25:02.321277
147,-6.2359,0,50,0.478622,0.014257,2026-05-27T15:25:02.707577
148,-6.2320,0,50,0.476229,0.014324,2026-05-27T15:25:03.103791
149,-6.2594,0,50,0.473848,0.018258,2026-05-27T15:25:03.499461
150,-6.2320,0,50,0.471479,0.018638,2026-05-27T15:25:03.909555
151,-6.1910,0,50,0.469121,0.033744,2026-05-27T15:25:04.303551
152,-6.2516,0,50,0.466776,0.011504,2026-05-27T15:25:04.695807
153,-6.1871,0,50,0.464442,0.009813,2026-05-27T15:25:05.085833
154,-6.1813,0,50,0.462120,0.008089,2026-05-27T15:25:05.480156
155,-6.2359,0,50,0.459809,0.006671,2026-05-27T15:25:05.868869
156,-6.1637,0,50,0.457510,0.007951,2026-05-27T15:25:06.257000
157,-6.1988,0,50,0.455222,0.007654,2026-05-27T15:25:06.787935
158,-6.2125,0,50,0.452946,0.007293,2026-05-27T15:25:07.197185
159,-6.1910,0,50,0.450682,0.007413,2026-05-27T15:25:07.585455
160,-6.2184,0,50,0.448428,0.005487,2026-05-27T15:25:07.970942
161,-6.1813,0,50,0.446186,0.006217,2026-05-27T15:25:08.357812
162,-6.1871,0,50,0.443955,0.006069,2026-05-27T15:25:08.744434
163,-6.2301,0,50,0.441735,0.005007,2026-05-27T15:25:09.130425
164,-6.2457,0,50,0.439527,0.003586,2026-05-27T15:25:09.519155
165,-6.2027,0,50,0.437329,0.005574,2026-05-27T15:25:09.908228
166,-6.2320,0,50,0.435142,0.004816,2026-05-27T15:25:10.294239
167,-6.2457,0,50,0.432967,0.005334,2026-05-27T15:25:10.682453
168,-6.2066,0,50,0.430802,0.004732,2026-05-27T15:25:11.072716
169,-6.2457,0,50,0.428648,0.004897,2026-05-27T15:25:11.474628
170,-6.2594,0,50,0.426505,0.006146,2026-05-27T15:25:11.861089
171,-6.1910,0,50,0.424372,0.014212,2026-05-27T15:25:12.247324
172,-6.1871,0,50,0.422250,0.002120,2026-05-27T15:25:12.634849
173,-6.2047,0,50,0.420139,0.002078,2026-05-27T15:25:13.023664
174,-6.1695,0,50,0.418038,0.002127,2026-05-27T15:25:13.411444
175,-6.2320,0,50,0.415948,0.001264,2026-05-27T15:25:13.797053
176,-6.2457,0,50,0.413868,0.001740,2026-05-27T15:25:14.189082
177,-6.2457,0,50,0.411799,0.001875,2026-05-27T15:25:14.596681
178,-6.2047,0,50,0.409740,0.001694,2026-05-27T15:25:15.103849
179,-6.1754,0,50,0.407691,0.001352,2026-05-27T15:25:15.496954
180,-6.1832,0,50,0.405653,0.001744,2026-05-27T15:25:15.886272
181,-6.1773,0,50,0.403625,0.001014,2026-05-27T15:25:16.274326
182,-6.2457,0,50,0.401606,0.001199,2026-05-27T15:25:16.662529
183,-6.2047,0,50,0.399598,0.001125,2026-05-27T15:25:17.050700
184,-6.2516,0,50,0.397600,0.001145,2026-05-27T15:25:17.439755
185,-6.2594,0,50,0.395612,0.000869,2026-05-27T15:25:17.825916
186,-6.2008,0,50,0.393634,0.000948,2026-05-27T15:25:18.213170
187,-6.2047,0,50,0.391666,0.001117,2026-05-27T15:25:18.607900
