episode,reward,score,length,epsilon,td_error,timestamp
1,-8.8500,0,50,0.998000,0.000000,2026-05-31T15:32:47.847037
2,-10.0500,0,50,0.996004,0.000000,2026-05-31T15:32:48.305336
3,-10.6500,0,50,0.994012,0.000000,2026-05-31T15:32:48.654727
4,-10.0500,0,50,0.992024,0.000000,2026-05-31T15:32:48.935540
5,-10.6500,0,50,0.990040,0.000000,2026-05-31T15:32:49.203293
6,-9.4500,0,50,0.988060,0.000000,2026-05-31T15:32:49.486380
7,-10.0500,0,50,0.986084,0.000000,2026-05-31T15:32:50.342577
8,-9.4500,0,50,0.984112,0.000000,2026-05-31T15:32:50.749820
9,-10.6500,0,50,0.982143,0.000000,2026-05-31T15:32:51.057087
10,-11.2500,0,50,0.980179,0.000000,2026-05-31T15:32:51.380511
